,state,lon,lat,months_open,num_items_sold,state_pop,name
0,Florida,25.109214,-80.427218,6.0,18.0,19893297.0,
1,Florida,25.44985,-80.482299,12.0,7.0,19893297.0,
2,Florida,25.4635,-80.4834,12.0,7.0,19893297.0,
3,Florida,25.506727,-80.395607,12.0,5.0,19893297.0,
4,Florida,25.506727,-80.395607,9.0,5.0,19893297.0,
5,Florida,25.50788,-80.430378,6.0,7.0,19893297.0,
6,Florida,25.669303,-80.286264,12.0,24.0,19893297.0,
7,Florida,25.704496,-80.285438,12.0,16.0,19893297.0,
8,Florida,25.727617,-80.253582,7.0,2.0,19893297.0,
9,Florida,25.73197,-80.325631,12.0,18.0,19893297.0,
10,Florida,25.741264,-80.29403,1.0,14.0,19893297.0,
11,Florida,25.749,-80.2632,3.0,11.0,19893297.0,
12,Florida,25.750453,-80.260407,10.0,12.0,19893297.0,
13,Florida,25.767406,-80.192121,12.0,15.0,19893297.0,
14,Florida,25.787119,-80.189222,12.0,16.0,19893297.0,
15,Florida,25.79059,-80.13394,12.0,8.0,19893297.0,
16,Florida,25.803534,-80.196719,12.0,11.0,19893297.0,
17,Florida,25.830218,-80.208433,2.0,14.0,19893297.0,
18,Florida,25.836248,-80.18319,12.0,19.0,19893297.0,
19,Florida,25.850246,-80.209281,1.0,14.0,19893297.0,
20,Florida,25.85537,-80.1287,12.0,11.0,19893297.0,
21,Florida,25.87024,-80.17362,8.0,6.0,19893297.0,
22,Texas,25.911617,-97.494221,1.0,15.0,26956958.0,
23,Florida,25.918423,-80.23539,1.0,14.0,19893297.0,
24,Florida,25.935954,-80.122172,2.0,10.0,19893297.0,
25,Florida,25.951948,-81.72605,6.0,16.0,19893297.0,
26,Florida,26.02811,-80.16846,12.0,27.0,19893297.0,
27,Florida,26.052135,-80.151336,12.0,12.0,19893297.0,
28,Florida,26.11965,-80.139699,12.0,23.0,19893297.0,
29,Florida,26.126959,-81.763926,12.0,12.0,19893297.0,
30,Florida,26.131064,-81.802901,12.0,19.0,19893297.0,
31,Florida,26.145891,-80.305913,12.0,17.0,19893297.0,
32,Texas,26.155226,-97.704718,10.0,15.0,26956958.0,
33,Texas,26.201603,-98.181605,7.0,17.0,26956958.0,
34,Florida,26.228856,-80.252796,12.0,15.0,19893297.0,
35,Texas,26.241597,-98.24198,12.0,15.0,26956958.0,
36,Florida,26.2462,-81.7707,12.0,13.0,19893297.0,
37,Florida,26.27315,-81.812604,7.0,12.0,19893297.0,
38,Florida,26.309644,-80.239001,6.0,15.0,19893297.0,
39,Florida,26.309917,-81.804309,7.0,13.0,19893297.0,
40,Florida,26.318092,-80.097963,6.0,19.0,19893297.0,
41,Florida,26.33083,-81.815337,7.0,16.0,19893297.0,
42,Florida,26.341101,-81.779297,8.0,8.0,19893297.0,
43,Florida,26.345975,-80.086148,8.0,23.0,19893297.0,
44,Florida,26.349458,-81.809683,7.0,25.0,19893297.0,
45,Florida,26.404759,-81.80921,7.0,25.0,19893297.0,
46,Florida,26.433792,-81.813049,12.0,11.0,19893297.0,
47,Florida,26.440936,-82.073654,8.0,24.0,19893297.0,
48,Florida,26.442506,-81.930516,9.0,13.0,19893297.0,
49,Florida,26.52479,-81.878845,7.0,26.0,19893297.0,
50,Florida,26.525179,-82.190561,5.0,26.0,19893297.0,
51,Florida,26.528433,-80.057952,12.0,17.0,19893297.0,
52,Florida,26.549264,-81.76229,3.0,27.0,19893297.0,
53,Florida,26.563733,-81.952514,8.0,21.0,19893297.0,
54,Florida,26.608161,-82.024341,12.0,17.0,19893297.0,
55,Florida,26.6153,-80.0403,7.0,14.0,19893297.0,
56,Florida,26.642629,-81.873192,12.0,26.0,19893297.0,
57,Florida,26.741988,-82.259954,4.0,26.0,19893297.0,
58,Florida,26.775639,-80.263351,1.0,22.0,19893297.0,
59,Florida,26.831775,-80.104843,1.0,17.0,19893297.0,
60,Florida,26.841862,-80.104459,5.0,16.0,19893297.0,
61,Florida,26.925563,-82.055929,8.0,23.0,19893297.0,
62,Florida,26.934507,-82.050451,12.0,26.0,19893297.0,
63,Florida,26.956452,-82.079759,1.0,19.0,19893297.0,
64,Florida,27.074732,-82.206423,7.0,27.0,19893297.0,
65,Florida,27.100805,-82.446599,12.0,22.0,19893297.0,
66,Florida,27.20034,-80.25495,1.0,19.0,19893297.0,
67,Florida,27.270461,-82.531357,7.0,16.0,19893297.0,
68,Florida,27.286805,-82.50025,12.0,15.0,19893297.0,
69,Florida,27.336511,-82.540609,12.0,22.0,19893297.0,
70,Florida,27.449057,-80.321851,12.0,22.0,19893297.0,
71,Florida,27.497223,-82.57345,8.0,20.0,19893297.0,
72,Texas,27.505348,-99.508713,12.0,20.0,26956958.0,
73,Florida,27.512113,-82.660491,5.0,2.0,19893297.0,
74,Florida,27.641457,-80.399262,10.0,9.0,19893297.0,
75,Texas,27.702789,-97.391425,12.0,16.0,26956958.0,
76,Florida,27.740097,-82.707794,8.0,26.0,19893297.0,
77,Florida,27.741575,-82.751016,8.0,23.0,19893297.0,
78,Florida,27.742378,-82.749527,8.0,13.0,19893297.0,
79,Texas,27.756638,-98.056203,9.0,11.0,26956958.0,
80,Florida,27.777957,-82.631968,8.0,21.0,19893297.0,
81,Texas,27.791933,-97.392539,12.0,22.0,26956958.0,
82,Texas,27.79667,-97.395219,12.0,16.0,26956958.0,
83,Florida,27.84788,-82.842837,6.0,13.0,19893297.0,
84,Florida,27.855798,-82.796388,6.0,25.0,19893297.0,
85,Florida,27.902152,-81.588227,12.0,12.0,19893297.0,
86,Florida,27.936422,-82.475409,12.0,19.0,19893297.0,
87,Florida,27.961089,-82.437835,12.0,12.0,19893297.0,
88,Florida,27.991071,-82.455289,8.0,18.0,19893297.0,
89,Florida,27.999259,-82.560612,8.0,21.0,19893297.0,
90,Florida,28.016397,-81.761504,12.0,16.0,19893297.0,
91,Florida,28.048078,-82.131831,12.0,8.0,19893297.0,
92,Florida,28.050964,-82.394125,12.0,11.0,19893297.0,
93,Florida,28.072966,-80.600258,8.0,14.0,19893297.0,
94,Florida,28.160309,-80.666944,12.0,20.0,19893297.0,
95,Florida,28.18857,-82.347212,12.0,18.0,19893297.0,
96,Florida,28.248358,-80.729013,7.0,14.0,19893297.0,
97,Florida,28.355644,-81.678425,12.0,15.0,19893297.0,
98,Florida,28.3736,-82.5863,12.0,10.0,19893297.0,
99,Florida,28.384765,-81.246072,12.0,15.0,19893297.0,
100,Florida,28.429752,-80.758841,12.0,12.0,19893297.0,
101,Florida,28.459412,-81.493887,12.0,16.0,19893297.0,
102,Florida,28.48114,-82.441117,12.0,18.0,19893297.0,
103,Florida,28.494836,-81.535503,12.0,18.0,19893297.0,
104,Florida,28.542606,-81.370778,12.0,16.0,19893297.0,
105,Florida,28.55379,-81.346283,1.0,22.0,19893297.0,
106,Florida,28.555079,-82.387877,10.0,28.0,19893297.0,
107,Florida,28.564368,-81.588239,12.0,17.0,19893297.0,
108,Florida,28.568415,-81.346417,12.0,18.0,19893297.0,
109,Florida,28.756994,-81.323783,12.0,18.0,19893297.0,
110,Texas,28.799726,-97.006456,10.0,15.0,26956958.0,
111,Florida,28.81125,-81.877692,12.0,17.0,19893297.0,
112,Florida,28.8116,-81.267,12.0,18.0,19893297.0,
113,Florida,28.815663,-81.472665,12.0,18.0,19893297.0,
114,Florida,28.854269,-82.040785,12.0,17.0,19893297.0,
115,Florida,28.876216,-81.698967,12.0,21.0,19893297.0,
116,Florida,29.005203,-82.177074,12.0,12.0,19893297.0,
117,Texas,29.162572,-95.429496,12.0,17.0,26956958.0,
118,Florida,29.182618,-81.425782,12.0,19.0,19893297.0,
119,Florida,29.186635,-82.135651,12.0,17.0,19893297.0,
120,Florida,29.21078,-81.016582,12.0,17.0,19893297.0,
121,Texas,29.2737,-94.8349,12.0,13.0,26956958.0,
122,Florida,29.284852,-81.055484,12.0,13.0,19893297.0,
123,Texas,29.321634,-98.543052,6.0,6.0,26956958.0,
124,Texas,29.414412,-98.498636,10.0,9.0,26956958.0,
125,Texas,29.414706,-98.498783,10.0,11.0,26956958.0,
126,Texas,29.42429,-98.49381,10.0,7.0,26956958.0,
127,Florida,29.429825,-81.509943,12.0,7.0,19893297.0,
128,Texas,29.43105,-98.488822,12.0,16.0,26956958.0,
129,Texas,29.442404,-98.480184,12.0,21.0,26956958.0,
130,Florida,29.484854,-82.857873,10.0,19.0,19893297.0,
131,Florida,29.491841,-81.267257,12.0,17.0,19893297.0,
132,Texas,29.493258,-98.481174,12.0,17.0,26956958.0,
133,Texas,29.494037,-98.480976,12.0,19.0,26956958.0,
134,Texas,29.494309,-98.494732,12.0,10.0,26956958.0,
135,Texas,29.520767,-95.191302,12.0,20.0,26956958.0,
136,Texas,29.534131,-98.5224,12.0,16.0,26956958.0,
137,Texas,29.54093,-95.0212,12.0,16.0,26956958.0,
138,Texas,29.543276,-98.550282,12.0,7.0,26956958.0,
139,Texas,29.548639,-95.150475,3.0,16.0,26956958.0,
140,Texas,29.564702,-98.229767,11.0,12.0,26956958.0,
141,Texas,29.5658,-95.2835,12.0,21.0,26956958.0,
142,Texas,29.567,-98.6885,8.0,13.0,26956958.0,
143,Texas,29.570966,-97.987168,12.0,6.0,26956958.0,
144,Louisiana,29.594305,-90.727209,12.0,1.0,4649676.0,
