,lat,lon,months_open,num_items_sold,state_pop
0,25.109214,-80.427218,6,18,19893297.0
1,25.44985,-80.482299,12,7,19893297.0
2,25.4635,-80.4834,12,7,19893297.0
3,25.506727,-80.395607,12,5,19893297.0
4,25.506727,-80.395607,9,5,19893297.0
5,25.50788,-80.430378,6,7,19893297.0
6,25.669303,-80.286264,12,24,19893297.0
7,25.704496,-80.285438,12,16,19893297.0
8,25.727617,-80.253582,7,2,19893297.0
9,25.73197,-80.325631,12,18,19893297.0
10,25.741264,-80.29403,1,14,19893297.0
11,25.749,-80.2632,3,11,19893297.0
12,25.750453,-80.260407,10,12,19893297.0
13,25.767406,-80.192121,12,15,19893297.0
14,25.787119,-80.189222,12,16,19893297.0
15,25.79059,-80.13394,12,8,19893297.0
16,25.803534,-80.196719,12,11,19893297.0
17,25.830218,-80.208433,2,14,19893297.0
18,25.836248,-80.18319,12,19,19893297.0
19,25.850246,-80.209281,1,14,19893297.0
20,25.85537,-80.1287,12,11,19893297.0
21,25.87024,-80.17362,8,6,19893297.0
22,25.911617,-97.494221,1,15,26956958.0
23,25.918423,-80.23539,1,14,19893297.0
24,25.935954,-80.122172,2,10,19893297.0
25,25.951948,-81.72605,6,16,19893297.0
26,26.02811,-80.16846,12,27,19893297.0
27,26.052135,-80.151336,12,12,19893297.0
28,26.11965,-80.139699,12,23,19893297.0
29,26.126959,-81.763926,12,12,19893297.0
30,26.131064,-81.802901,12,19,19893297.0
31,26.145891,-80.305913,12,17,19893297.0
32,26.155226,-97.704718,10,15,26956958.0
33,26.201603,-98.181605,7,17,26956958.0
34,26.228856,-80.252796,12,15,19893297.0
35,26.241597,-98.24198,12,15,26956958.0
36,26.2462,-81.7707,12,13,19893297.0
37,26.27315,-81.812604,7,12,19893297.0
38,26.309644,-80.239001,6,15,19893297.0
39,26.309917,-81.804309,7,13,19893297.0
40,26.318092,-80.097963,6,19,19893297.0
41,26.33083,-81.815337,7,16,19893297.0
42,26.341101,-81.779297,8,8,19893297.0
43,26.345975,-80.086148,8,23,19893297.0
44,26.349458,-81.809683,7,25,19893297.0
